ID,SMILES,VALUE_p
1,NC1=C2CCCCC2=NC2=CC=CC=C12,6.318758763
2,COC1(C2=CN(O)C(=O)C(C(=O)C3C(C)C=CC4CC(C)CCC43)=C2O)CCC(O)C2OC21,6.091514981
3,O=S(=O)(N=C(NCCCCNC1=C2CCCCC2=NC2=CC=CC=C12)N1CC(C2=CC=CC=C2)C(C2=CC=C(Cl)C=C2)=N1)C1=CC=C(Cl)C=C1,5.599999383
4,O=C1C2=CC=CC=C2C(=O)N1CCCCCCNCC1=CC=CC=C1,5.6767479
5,O=C1C2=CC=CC=C2C(=O)N1CCCCCCNCC1=CC=CC=C1F,6.026410377
6,O=C1C2=CC=CC=C2C(=O)N1CCCCCNCC1=CC=C(F)C=C1,6.571865206
7,C=CCNCC1=CC2=CC(OCCCC3CCN(CC4=CC=CC=C4)CC3)=CC=C2N1,5.337242168
8,COC(=O)C1=C(C)NC2=NC3=C(CCCC3Cl)C(N)=C2C1C1=CC=CC([N+](=O)[O-])=C1,6.135488919
10,CC1=C(C(=O)OC(C)C)C(C2=CN=CN=C2)C2=C(N=C3CCC(C)(C)CC3=C2N)N1,6.074687909
11,CC1=C(C(=O)OC(C)C)C(C2=CC=CC=C2Cl)C2=C(N=C3CCC(C)(C)CC3=C2N)N1,5.518557371
12,C=CCOC(=O)C1=C(C)NC2=NC3=C(CC(C)(C)CC3)C(N)=C2C1C1=CC=CC(F)=C1,5.749579998
13,O=C1C2=CC=CC=C2C(=O)N1CCCCCCNCC1=CC=C(F)C=C1F,5.796967113
14,O=C1C2=CC=CC=C2C(=O)N1CCCCCCCCNCC1=CC=C(F)C=C1F,6.238072162
17,O=C(COC1=CC=CC=C1)N1CCN(C2CCN(CC3=CC=CC=C3)CC2)CC1,4.366531544
18,CC1CCCCN1C1=NC2=CC=CC=C2N1,4.051000546
19,COC1=CC(CCC(=O)NCCC2CCN(CC3=CC=CC=C3)CC2)=CC=C1O,5.274088368
20,O=C1C(=CC2CCN(CC3=CC=CC=C3)CC2)CC2=CC=C(O)C=C12,5.823908741
21,COC1=CC=CC2=C1C(=O)C(=CC1CCN(CC3=CC=C4OCOC4=C3)CC1)C2,4.953309779
23,CC1=CC=C([N+](=O)[O-])C=C1,5.30980392
24,C#CCC(C)OC[N+]1=C(C=NO)N(C)C=C1,5.059483515
25,N#CC1=C(N)N(CC2=CC=CC=C2)C(NCC2=CC=CC=C2)=C([N+](=O)[O-])C12C1=CC=CC=C1C1=NC3=CC=CC=C3N=C12,5.27572413
26,CC=C(C)C(=O)NC1CCC2(C)C(=CCC3C2CCC2(C)C3CCC2C(C)N(C)C)C1=O,5.149999868
27,NC1=C2CC3=CC=CC=C3C2=NC2=CC([N+](=O)[O-])=CC=C12,4.169999984
28,COC1=CC2=C(C=C1OC)C(=O)C(=CC1CCN(CC3=CC=CC=C3)CC1)C2,7.236572006
