ID,SMILES,VALUE_p
1,NC(C[S+]([O-])CP(=O)(O)O)C(=O)O,6.853871964
2,NS(=O)(=O)C1=CC=CC2=C1C([N+](=O)[O-])=CC1=NC(O)=C(O)N=C12,6.698970004
3,N=C(N)C1=CC=C(OCC(O)C(O)COC2=CC=C(C(=N)N)C=C2)C=C1,4.605548319
5,COC1=CC(C(=N)N)=CC=C1OCC=CCOC1=CC=C(C(=N)N)C=C1OC,4.508638306
6,OC(CN1CCC(CC2=CC=CC=C2)CC1)C1=CC=CC=C1,5.301029996
7,NC(CC1=CC=C(CC(=O)NC2CC(C(=O)O)NC3=CC(Cl)=CC(Cl)=C32)C=C1)C(=O)O,7.494850022
8,N=C(N)C1=CC=C(NCCCCCCCCNC2=CC=C(C(=N)N)C=C2)C=C1,4.507239611
9,N=C(N)C1=CC=C(NC(=O)CCCCCCCCC(=O)NC2=CC=C(C(=N)N)C=C2)C=C1,4.203425667
10,N=C(N)C1=CC=C(NC(=O)C2=CC=CC(C(=O)NC3=CC=C(C(=N)N)C=C3)=C2)C=C1,4.435333936
12,NC(N)C1=CC=C(OCCOCCOC2=CC=C(C(N)N)C=C2)C=C1,4.195179321
13,NC(N)C1=CC=C(OCCSCCOC2=CC=C(C(N)N)C=C2)C=C1,4.716698771
14,N=C(N)C1=CC=C(OCC2=CC=CC=C2COC2=CC=C(C(=N)N)C=C2)C=C1,5.847711656
15,C=CCNCCCCCCCCC1=CC=C(CCCCNCC=C)S1,4.876148359
16,NCCCCC1=CC=C(CCCCN(CC2=CC=CC=C2)C(=O)CC(N)CC2=CC=CC=C2)S1,5.76700389
17,CC(N)CC(=O)NCCCCC1=CC=C(CCCCN)S1,4.184422252
18,NCCCCC1=CC=C(CC2=CC=C(CCCCN)S2)S1,4.774690718
19,N=C(N)NCCCCCCCCC1=CC=C(CCCCNC(=N)N)S1,5.403402904
20,N=C(N)NCCCCCCCCC1=CC=C(CCCNC(=N)N)S1,5.201349355
