ID,SMILES,pEC50_Clinical_Abnormal Hepatic Function,pEC50_Clinical_Cholecystitis,pEC50_Clinical_Cholelithiasis,pEC50_Clinical_Cholestasis,pEC50_Clinical_Cholestatic Jaundice,pEC50_Clinical_Hepatic Failure,pEC50_Clinical_Hepatic Necrosis,pEC50_Clinical_Hepatic Steatosis,pEC50_Clinical_Hepatitis,pEC50_Clinical_Hepatobiliary disorder,pEC50_Clinical_Hepatocellular injury,pEC50_Clinical_Hepatomegaly,pEC50_Clinical_Hyperbilirrubinemia,pEC50_Clinical_Jaundice,pEC50_Clinical_Liver Injury,pEC50_Pre_Clinical_Filtered Dose Hepatic Steatosis,pEC50_Pre_Clinical_Filtered Doses Hepatic Necrosis,pEC50_Pre_Clinical_Filtered Doses Hepatomegaly,pEC50_Pre_Clinical_Filtered Doses Liver Disorder,pEC50_Pre_Clinical_Filtered Doses liver Injury,pEC50_Pre_Clinical_Filtered Hepatic Necrosis
0,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,-2.3010299956639813,-2.3010299956639813,,,,-2.3010299956639813,,-2.3010299956639813,,,,,,,-2.3010299956639813,,,,-1.0,,
1,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,-2.903089986991944,,,,,,,,,,,-2.903089986991944,,,,,,,,,
2,C/C([O-])=N/c1nnc(S(N)(=O)=O)s1,-2.6989700043360187,,,,-2.6989700043360187,-2.6989700043360187,-2.6989700043360187,,,,,,,,,,,,,,
3,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,-1.4771212547196624,,,,,-1.4771212547196624,-1.0,-1.0,-1.0,,,-1.0,-1.4771212547196624,-1.0,,,-1.0,,-2.0,-2.0,-1.0
4,COc1ccc2cccc(CCNC(C)=O)c2c1,-1.6989700043360187,,,,,-1.3979400086720375,,,-1.3979400086720375,,,,,-1.3979400086720375,,,,-2.096910013008056,,,
5,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,-1.6020599913279625,,,,,,,,,,,,,,,,,,,,
6,Nc1ccc(C(=O)O)c(O)c1,-4.301029995663981,,,,,,,,-3.6020599913279625,,,-4.079181246047625,,-3.6020599913279625,,,,,,,
7,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,-2.7781512503836434,-2.7781512503836434,,,,,-2.903089986991944,,-1.380211241711606,,-2.903089986991944,-3.204119982655925,,-2.903089986991944,,,-0.6989700043360189,-1.6989700043360187,-1.8750612633917,-0.6989700043360189,-0.6989700043360189
8,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](C)[C@@H](O)[C@H]1C)O2,-0.4771212547196624,-0.6989700043360189,,,,-0.4771212547196624,,,0.0,,-0.0,-0.6989700043360189,0.0,-0.6989700043360189,,,-0.6989700043360189,-1.0,-1.0,,-0.6989700043360189
9,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,-0.6989700043360189,,,,,,,,-0.3010299956639812,,,,,-0.3010299956639812,,,,,,,
